id;nom;espece;date_naissance;sexe;client_id
1;même si;OISEAU;2026-08-16;MALE;1
2;chut;MOUTON;2026-08-17;MALE;2
3;mieux chef en decà de;RONGEUR;2026-08-16;FEMELLE;3
4;vide cependant;CHIEN;2026-08-16;FEMELLE;4
5;athlète blême envelopper;LAPIN;2026-08-17;MALE;5
6;plic blablabla hors;CHAT;2026-08-16;FEMELLE;6
7;de sorte que tic-tac;LAPIN;2026-08-16;MALE;7
8;mélancolique grrr;REPTILE;2026-08-16;MALE;8
9;aussitôt que chef;OISEAU;2026-08-16;FEMELLE;9
10;charitable dessous;CHIEN;2026-08-16;FEMELLE;10
11;ouin;VACHE;2026-08-17;FEMELLE;11
12;ouch;VACHE;2026-08-17;FEMELLE;12
13;ah;AUTRE;2026-08-17;MALE;13
14;introduire a;RONGEUR;2026-08-16;FEMELLE;14
15;secouriste afin de résumer;CHAT;2026-08-17;FEMELLE;15
16;que juriste lors de;LAPIN;2026-08-17;MALE;16
17;arrêter souper instruire;CHEVRE;2026-08-16;FEMELLE;17
18;juriste réconcilier tic-tac;CHAT;2026-08-17;MALE;18
19;aux environs de vivace police;CHEVRE;2026-08-16;FEMELLE;19
20;communauté étudiante;VACHE;2026-08-16;FEMELLE;20
21;soudain hystérique minuscule;CHEVRE;2026-08-16;MALE;21
22;trop bzzz;REPTILE;2026-08-17;FEMELLE;22
23;secours;RONGEUR;2026-08-17;FEMELLE;23
24;administration au défaut de antagoniste;RONGEUR;2026-08-17;FEMELLE;24
25;malade;CHEVRE;2026-08-17;FEMELLE;25
26;plier gouverner définir;MOUTON;2026-08-17;MALE;26
27;atchoum pourvu que;AUTRE;2026-08-17;MALE;27
28;hé;LAPIN;2026-08-17;FEMELLE;28
29;étouffer malgré police;MOUTON;2026-08-17;MALE;29
30;pauvre;VACHE;2026-08-17;MALE;30
