id;nom;adresse;telephone
1;miaou brusque;hebdomadaire coac coac repasser;+33 717924677
2;au-delà tant;police;0793329726
3;rectorat;comme discuter;0397294801
4;de par énergique orange;où présidence;+33 792460443
5;population du Québec;foule;0797565422
6;brusque remuer;inspecter toutefois;+33 688673110
7;cyan;où athlète;+33 761241914
8;si bien que à bas de;dès;0341786061
9;à moins de;quoique abaisser aussi;0375270412
10;après que au cas où;pis;+33 128432360
11;fermer également turquoise;ha;0622816244
12;soit;aménager;0273563322
13;quelquefois badaboum;coupable administrer au lieu de;0470087735
14;smack au-dessus de parmi;toc;0600936754
15;au point que retourner à la merci;drôlement;0553949379
16;collègue coac coac;tant au moyen de;0673117290
17;définir avex oups;certainement aussitôt que;+33 655333824
18;ailleurs à cause de lentement;diététiste;0604422589
19;que émérite;quitte à coin-coin;+33 365000967
20;sous au point que euh;considérable;+33 185887545
21;communauté étudiante auprès de;nonobstant minuscule outre;+33 284950535
22;sombre confronter;concernant;0267004590
23;via;rectorat parfois;+33 735577024
24;loufoque à raison de;exprès un peu quand;0639346136
25;à demi aggraver;plic;0741723693
26;miam;autant nonobstant;+33 141156853
27;livrer ailleurs;étudier comme propre;+33 691390950
28;résigner où;divinement de façon à ce que caresser;0493334373
29;construire bè;si lâche bof;0444460577
30;concevoir administration;à partir de cocorico;+33 754465428
