id;poids;rendez_vous_id;animal_id
1;14625.43;1;1
2;29142.87;2;2
3;17539.78;3;3
4;27724.25;4;4
5;4211.49;5;5
6;27096.51;6;6
7;15133.76;7;7
8;19417.05;8;8
9;18653.9;9;9
10;13904.76;10;10
11;23479.22;11;11
12;20522.69;12;12
13;15935.01;13;13
14;7388.28;14;14
15;15936.86;15;15
16;22230.44;16;16
17;26347.09;17;17
18;931.78;18;18
19;3838.61;19;19
20;11926.02;20;20
21;1963.7;21;21
22;30486.51;22;22
23;32232.96;23;23
24;24421.16;24;24
25;1692.46;25;25
26;9253.92;26;26
27;31409.4;27;27
28;9402.04;28;28
29;6300.21;29;29
30;27396.07;30;30
