id;date;motif;duree;animal_id;clinique_id;medecin_id
1;2026-08-17T06:14:00;restaurer concernant;5875.41;1;1;1
2;2026-08-16T19:21:41;considérable;23272.06;2;2;2
3;2026-08-17T11:44:37;trop commis de cuisine adversaire;29776.24;3;3;3
4;2026-08-16T22:54:23;lentement;31949.56;4;4;4
5;2026-08-17T06:28:02;puisque;31941.44;5;5;5
6;2026-08-17T12:14:12;équilibrer lorsque hé;32726.34;6;6;6
7;2026-08-17T11:45:51;vraisemblablement membre du personnel;267.55;7;7;7
8;2026-08-17T08:47:05;prestataire de services de peur que;245.13;8;8;8
9;2026-08-17T06:19:45;fade;22460.81;9;9;9
10;2026-08-17T13:27:40;antagoniste mélancolique;8315.42;10;10;10
11;2026-08-17T11:23:19;étant donné que;15312.71;11;11;11
12;2026-08-16T23:07:36;à force de alors que coupable;29000.12;12;12;12
13;2026-08-17T01:10:25;membre du personnel tant;4831.8;13;13;13
14;2026-08-17T07:48:16;afin que;2222.18;14;14;14
15;2026-08-16T23:03:00;boum sauf;22360.53;15;15;15
16;2026-08-16T16:42:35;dès que gestionnaire pendant que;29479.7;16;16;16
17;2026-08-17T14:42:52;vite;6906.65;17;17;17
18;2026-08-16T20:11:33;saluer respirer;5514.65;18;18;18
19;2026-08-16T16:09:07;calmer autour de;28799.49;19;19;19
20;2026-08-17T15:00:34;épargner;27980.32;20;20;20
21;2026-08-16T18:53:43;solitaire combien;16480.23;21;21;21
22;2026-08-17T09:31:25;amorphe;31926.24;22;22;22
23;2026-08-17T02:36:55;quelque plus;22416.13;23;23;23
24;2026-08-17T06:51:26;délégation;26036.54;24;24;24
25;2026-08-16T22:23:58;cuicui buter fixer;6486.43;25;25;25
26;2026-08-17T01:32:16;mener ha sous;600.77;26;26;26
27;2026-08-17T11:27:14;oups comme;22787.53;27;27;27
28;2026-08-17T10:07:35;à condition que à l'entour de;22992.15;28;28;28
29;2026-08-17T00:45:48;pis exécuter apparemment;7834.73;29;29;29
30;2026-08-17T01:38:29;vide raide téméraire;24600.59;30;30;30
